state,year,co2_per_cap,gdp_per_cap,pop_size,region,firm_num,employees,payroll_thousands,fossil_fuels,renewables,petroleum,coal,natural_gas
Alabama,1997,30.76968865,31465,4367935,West,246,9876,601134.0107,1730236,300025,525885,867264,337453
Alaska,1997,68.51907441,62577,612968,South,139,9096,941378.9992,693234,15583,256711,11719,425394
Arizona,1997,15.11508363,34485,4736990,South,196,12788,777539.5652,938073,143638,432517,369872,137588
Arkansas,1997,22.91347089,30470,2601090,West,279,3648,160889.3832,831697,124083,320891,246786,264019
California,1997,10.8631377,41314,32486010,South,797,27405,1886471.293,5563538,767465,3303260,82651,2185029
Colorado,1997,18.73930049,43632,4018293,South,966,16906,1147266.349,1046442,38517,377397,362423,318292
Connecticut,1997,12.77860646,54783,3349348,Northeast,80,1426,114658.9989,621331,51009,428059,44982,148622
Delaware,1997,22.08953714,57373,751487,West,14,135,6024.412829,228229,2202,131503,48586,48141
District of Columbia,1997,7.573942818,131750,567736,West,12,0,0,68423,1377,32614,983,34826
Florida,1997,14.42088872,35611,15186304,West,212,7842,410546.2906,2954510,232476,1656094,751335,547201
Georgia,1997,20.46818135,41289,7685099,West,143,6929,349333.07,2089308,262485,939627,767969,381726
Hawaii,1997,15.43362715,44161,1211640,South,7,0,0,251074,22540,230561,20513,2689
Idaho,1997,11.23302836,28973,1228520,South,118,3334,183915.0179,223896,179013,146685,6410,70801
Illinois,1997,18.60375037,45613,12185715,Midwest,579,11312,773992.0188,3243331,91181,1188677,974920,1099809
Indiana,1997,36.57266752,37398,5955267,Midwest,245,0,0,2802586,47037,825239,1423469,562765
Iowa,1997,24.45419922,37300,2891119,Midwest,73,1926,90203.11758,963289,80059,368122,391698,256790
Kansas,1997,27.24555761,37394,2635292,Midwest,961,9893,460691.8081,1025694,10351,376454,310907,338569
Kentucky,1997,36.02557917,35384,3952747,West,594,23010,1199827.245,1781631,48523,565116,977760,239332
Louisiana,1997,50.75693197,40661,4421071,West,1335,54253,3446048.349,4017871,149696,1934800,226065,1857072
Maine,1997,15.77973404,33011,1254774,Northeast,26,0,0,272037,161832,256601,8966,6501
Maryland,1997,13.99949741,41929,5157328,West,80,1857,91411.47551,1018884,53176,510445,289686,219192
Massachusetts,1997,13.78079035,47225,6226058,Northeast,85,1379,90660.26184,1259934,72313,725633,122896,411555
Michigan,1997,19.50239631,39314,9809051,Midwest,430,6743,393930.0324,2748587,116019,982139,781123,1010167
Minnesota,1997,19.31397597,42629,4763390,Midwest,136,7164,485929.6467,1317647,89962,631434,341636,360439
Mississippi,1997,20.16561733,28368,2777004,West,357,4600,192114.2076,829735,84292,433354,132171,264210
Missouri,1997,22.93296368,39749,5481193,Midwest,225,5008,239201.4033,1653923,31337,698521,670589,286117
Montana,1997,33.26347255,30009,889865,South,280,5283,305187.9051,384909,153271,160643,162568,61699
Nebraska,1997,24.31188472,39468,1686418,Midwest,126,1087,46838.57331,556197,41932,232513,193334,132141
Nevada,1997,21.54068014,47622,1764104,South,228,13984,889723.0344,516624,48281,214461,166666,135497
New Hampshire,1997,13.95632343,39215,1189425,Northeast,42,680,36080.97969,225101,42283,159428,44527,21249
New Jersey,1997,15.20901814,49674,8218808,Northeast,104,3206,272753.386,1970902,40227,1136640,99889,742031
New Mexico,1997,31.55215769,36181,1774839,South,548,16220,913276.6573,767980,9781,218976,288506,261881
New York,1997,11.00418052,49027,18656546,Northeast,328,5659,390127.1803,3146766,492995,1466190,325232,1358091
North Carolina,1997,18.70226889,39424,7656825,West,124,3827,203707.2257,1849484,167590,862904,765927,223419
North Dakota,1997,72.64712582,31924,649716,Midwest,204,4207,248336.2684,559762,37662,120487,385988,59283
Ohio,1997,23.18805727,39495,11277357,Midwest,730,13964,792046.5438,3558952,86935,1227707,1407234,938245
Oklahoma,1997,29.38109654,32363,3372917,West,2208,35457,2359717.192,1424464,55186,458549,392437,573479
Oregon,1997,10.92512506,34053,3304310,South,138,1954,93194.60546,568698,530611,358565,16363,193773
Pennsylvania,1997,22.65327229,38830,12227814,Northeast,800,19654,1076070.808,3614027,119659,1318729,1569642,730778
Rhode Island,1997,13.26372479,37740,1025353,Northeast,20,89,5908.121745,222937,4347,102353,71,120532
South Carolina,1997,18.60250134,34141,3859696,West,53,1435,63159.42546,956849,131984,436791,361385,158683
South Dakota,1997,17.87098759,30781,744223,Midwest,53,0,0,191610,96328,113279,42942,36803
Tennessee,1997,22.31220245,36870,5499233,West,161,5019,239327.0511,1610222,161832,637814,680608,291844
Texas,1997,32.75023395,41305,19740317,West,6023,150536,10533135.79,11668119,126384,5917058,1523201,4231566
Utah,1997,28.82369147,35632,2119784,South,297,8618,535396.1312,792986,20403,245634,375105,172248
Vermont,1997,10.88341518,32684,597239,Northeast,51,700,34347.30687,97615,19949,86611,2695,8314
Virginia,1997,16.13663011,43069,6829183,West,333,13539,717872.8823,1493003,125998,803207,432781,259936
Washington,1997,13.92132548,45938,5674747,South,167,3496,202552.3349,1172088,1160958,825636,80465,268141
West Virginia,1997,61.01874925,30443,1819113,West,650,24498,1518776.262,1307333,17599,199292,937708,170349
Wisconsin,1997,19.67258066,38770,5266213,Midwest,136,2296,136724.8979,1437818,128394,551793,486597,404959
Wyoming,1997,120.3389103,46657,489451,South,564,15790,1025259.625,707658,16280,131412,468350,107907
Alabama,1998,30.35393322,32310,4404701,West,228,8866,511503.5904,1717751,317355,519583,856479,341976
Alaska,1998,69.52375422,59566,619932,South,113,8730,924828.2055,709668,13638,259108,16471,434437
Arizona,1998,15.66550121,36281,4883342,South,188,13920,768291.2176,1016590,128257,470202,386770,161086
Arkansas,1998,23.22668983,30834,2626289,West,260,0,0,849555,114968,322009,254658,272888
California,1998,11.01623561,43329,32987675,South,770,21841,1293119.793,5804462,838293,3325202,66157,2418688
Colorado,1998,18.87462078,46149,4116639,South,878,11810,749797.6018,1096798,31405,408228,364889,334257
Connecticut,1998,12.00468777,56336,3365352,Northeast,63,0,0,585058,49477,417880,32569,134925
Delaware,1998,21.09165701,59129,763335,West,11,0,0,220407,1935,132269,45817,42322
District of Columbia,1998,7.253684341,134340,565230,West,3,0,0,65029,1221,33640,155,31235
Florida,1998,14.98073265,36629,15486559,West,205,8223,451391.1127,3118235,206791,1839319,749474,529565
Georgia,1998,20.15632662,43110,7863536,West,135,0,0,2108985,256581,963042,767394,378565
Hawaii,1998,15.4702843,42644,1215233,South,11,0,0,251859,21701,233636,18223,2803
Idaho,1998,11.2590132,29672,1252330,South,105,2621,134129.0589,233465,159820,152770,8783,71912
Illinois,1998,17.69904726,46720,12271847,Midwest,544,9391,534722.285,3091514,91484,1185674,949046,978337
Indiana,1998,36.55682394,39431,5998880,Midwest,232,6314,385049.165,2792680,44519,822287,1447976,530637
Iowa,1998,25.66423873,37466,2902872,Midwest,74,0,0,997571,79013,393903,424859,234619
Kansas,1998,26.61055898,38333,2660598,Midwest,896,7032,278109.7094,1013120,9896,378987,309382,325041
Kentucky,1998,35.30394767,36086,3985390,West,538,21374,1165834.86,1752419,43807,581649,958990,212108
Louisiana,1998,47.29363311,41771,4440344,West,1268,53742,3193485.907,3760031,147541,1855764,225283,1679040
Maine,1998,15.40750059,33755,1259127,Northeast,25,0,0,266396,151245,253313,7294,5813
Maryland,1998,14.44913444,43467,5204464,West,79,1923,85467.32903,1042893,52662,543751,303896,195540
Massachusetts,1998,13.37725879,48828,6271838,Northeast,84,0,0,1222998,66411,746097,109862,367109
Michigan,1998,19.33398877,40095,9847942,Midwest,417,6825,386073.1514,2682230,108892,986703,826852,893988
Minnesota,1998,19.11326103,44442,4813412,Midwest,140,0,0,1308404,87852,631858,357030,337128
Mississippi,1998,20.28640554,28760,2804834,West,333,4320,182519.6561,840606,64176,462232,125930,252445
Missouri,1998,23.63374754,40099,5521765,Midwest,206,0,0,1702874,38059,746380,695687,261504
Montana,1998,35.52095344,31017,892431,South,267,4878,278638.813,407191,128284,159730,186099,61398
Nebraska,1998,25.35652453,39955,1695816,Midwest,124,976,39772.26421,580056,42666,245892,204797,131125
Nevada,1998,21.96211831,47529,1853191,South,211,12630,825842.4131,559762,54339,222084,184243,154656
New Hampshire,1998,13.84811848,41097,1205940,Northeast,35,0,0,226124,40587,168268,38623,19338
New Jersey,1998,14.5401137,50238,8287418,Northeast,101,1969,141002.1399,1897612,39547,1116104,86235,705462
New Mexico,1998,30.94535552,35611,1793484,South,529,15489,823365.3663,760775,10064,231328,290367,241406
New York,1998,10.89256899,49728,18755906,Northeast,300,3684,201730.5889,3104158,460173,1501741,337438,1267065
North Carolina,1998,18.28630905,39861,7809121,West,116,3434,164149.7609,1847308,163014,873708,754322,222659
North Dakota,1998,74.74534077,33717,647532,Midwest,190,4159,236700.1199,567926,27325,113349,409226,51428
Ohio,1998,23.02958679,40746,11311536,Midwest,697,11609,620767.4161,3494657,85955,1220606,1450165,843871
Oklahoma,1998,28.66209679,32700,3405194,West,2140,26534,1282138.921,1420359,60595,466331,370064,583964
Oregon,1998,12.43866797,35257,3352449,South,130,0,0,661220,455595,387043,36133,239271
Pennsylvania,1998,21.74645867,39869,12245672,Northeast,764,17820,961752.2607,3482971,111706,1350924,1466042,667233
Rhode Island,1998,13.48002968,38856,1031155,Northeast,20,0,0,230553,4197,96460,59,134035
South Carolina,1998,19.13638759,34960,3919235,West,53,1348,66120.82987,991444,129957,453196,373368,164881
South Dakota,1998,17.15684303,32505,746058,Midwest,47,0,0,184698,63218,111903,41015,33374
Tennessee,1998,21.86696876,38553,5570045,West,156,4009,191085.3419,1611387,158856,672134,651838,287447
Texas,1998,32.35019209,43372,20157531,West,5745,109687,6718049.787,11851425,115577,5990370,1488589,4377957
Utah,1998,29.31725424,36907,2165960,South,286,7984,451202.8993,824579,20534,251520,396129,177960
Vermont,1998,10.49272504,33451,600416,Northeast,49,0,0,91024,20289,83144,53,7828
Virginia,1998,16.24421562,44668,6900918,West,296,11799,593348.7978,1522577,126116,815891,438490,271542
Washington,1998,14.36850839,48017,5769562,South,168,0,0,1230133,904701,826244,103476,303307
West Virginia,1998,63.2845508,30904,1815609,West,625,21325,1312733.477,1343767,16215,213555,978340,151873
Wisconsin,1998,19.17823527,39857,5297672,Midwest,135,2194,134294.8973,1410287,110689,569054,472029,372082
Wyoming,1998,129.9952933,47475,490787,South,551,16257,984976.22,761791,15732,129026,516261,116505
Alabama,1999,30.72136982,33106,4430141,West,213,7947,432697.6922,1752758,290238,537208,866512,349080
Alaska,1999,69.78467586,58609,624779,South,111,8246,788180.0927,714792,10605,275974,16394,422817
Arizona,1999,16.00374854,38300,5023823,South,181,12027,658650.4815,1066187,116308,496423,403262,167770
Arkansas,1999,23.83232901,31877,2651860,West,245,3046,134390.8187,875812,110867,351123,267022,257666
California,1999,10.9554842,45541,33499204,South,736,19489,1134470.626,5877136,764608,3432869,69547,2379558
Colorado,1999,18.81203535,49040,4226018,South,849,11621,757783.0586,1108517,32398,417812,364236,335458
Connecticut,1999,12.28442822,57724,3386401,Northeast,63,680,42147.63511,613903,49603,443105,15231,155902
Delaware,1999,21.03252945,66794,774990,West,14,0,0,230227,1999,136223,35915,58089
District of Columbia,1999,7.365668619,138460,570213,West,3,0,0,66573,1257,33458,151,32964
Florida,1999,14.67693515,37913,15759421,West,199,6741,345323.4426,3139118,205580,1839473,716280,583448
Georgia,1999,19.99760128,44677,8045965,West,140,6888,416384.6387,2144649,231125,1014924,782617,347120
Hawaii,1999,15.28546641,43398,1210300,South,10,0,0,247681,21821,229990,17691,2886
Idaho,1999,11.75849002,31920,1275674,South,103,2277,120712.4753,246560,167399,165224,7976,73361
Illinois,1999,18.31860455,47665,12359020,Midwest,500,9465,563553.6726,3246640,93844,1295841,958832,1026415
Indiana,1999,37.28720528,40222,6044969,Midwest,223,6014,351172.3444,2881002,47600,854441,1477167,566981
Iowa,1999,26.18560107,37971,2917634,Midwest,75,1804,87930.55205,1036451,84399,409519,432009,235085
Kansas,1999,27.7784208,39206,2678338,Midwest,840,6003,260095.8507,1054191,10144,423344,329308,302023
Kentucky,1999,36.11201744,36847,4018053,West,498,20798,1133699.271,1820983,38509,608305,987592,225393
Louisiana,1999,46.9645542,42192,4460811,West,1190,44053,2624136.487,3766800,148447,1980955,227687,1558295
Maine,1999,16.18240491,35300,1266808,Northeast,23,0,0,279855,159191,266344,6864,6690
Maryland,1999,14.78729982,44507,5254509,West,87,1831,92536.78764,1076762,50890,569264,305186,203040
Massachusetts,1999,12.88515983,50987,6317345,Northeast,86,1080,69296.99628,1191419,65165,716597,113610,361351
Michigan,1999,20.04624377,41764,9897116,Midwest,415,6788,399045.2587,2816016,111272,1039667,832638,968282
Minnesota,1999,19.04183068,45258,4873481,Midwest,136,6876,440752.4877,1334525,98815,661046,341475,351143
Mississippi,1999,21.88510286,29257,2828408,West,308,3901,183960.9704,928274,65132,472889,137608,317777
Missouri,1999,23.58885772,41051,5561948,Midwest,202,4475,212517.8282,1726845,33912,772032,687170,269262
Montana,1999,36.09999699,31395,897507,South,259,4553,262603.0748,423719,157019,173363,186770,63624
Nebraska,1999,24.51952294,40474,1704764,Midwest,110,0,0,566299,44611,248488,198490,121368
Nevada,1999,21.34678025,49517,1934718,South,199,12013,744447.2532,566877,51196,227485,181616,159981
New Hampshire,1999,13.74779667,42172,1222014,Northeast,42,495,30270.83589,229675,38908,173884,35408,20496
New Jersey,1999,14.89307134,51571,8359592,Northeast,101,2189,144599.9984,1988140,40467,1162230,88984,743561
New Mexico,1999,31.19327553,37395,1808082,South,516,11945,655852.2288,768657,10249,241182,298105,231312
New York,1999,10.94121744,52368,18882725,Northeast,290,3523,200164.5663,3150303,420320,1525301,317998,1308656
North Carolina,1999,17.76243399,41811,7949361,West,112,3521,172194.9166,1831977,142638,867739,742398,224763
North Dakota,1999,76.67723695,33710,644259,Midwest,189,3583,229141.2264,588336,30685,124037,411323,58962
Ohio,1999,22.91041894,42013,11335454,Midwest,665,11252,582323.7284,3525279,93557,1290367,1382205,873157
Oklahoma,1999,28.25017376,33045,3437147,West,1982,22495,1128501.964,1404456,55321,493090,360598,550768
Oregon,1999,12.69910113,35552,3393941,South,129,1924,94196.68075,679626,510895,395064,38604,246999
Pennsylvania,1999,21.5838396,41016,12263805,Northeast,764,17102,928488.0633,3473079,110245,1345656,1414957,713570
Rhode Island,1999,12.68740352,40034,1040402,Northeast,27,0,0,218281,4403,97520,41,120720
South Carolina,1999,19.72484843,35728,3974682,West,49,0,0,1028239,96968,458126,402153,167978
South Dakota,1999,17.99011743,33574,750412,Midwest,48,0,0,196134,73106,115592,46304,36009
Tennessee,1999,21.72484254,38930,5638706,West,149,4151,191319.1002,1624518,131838,689813,648342,286375
Texas,1999,30.56684869,43825,20558220,West,5355,102337,6760942.97,11561844,98743,5898080,1530426,4138086
Utah,1999,28.27343269,38084,2203482,South,263,7526,428500.957,810023,21238,257585,384060,169255
Vermont,1999,10.749434,35087,604683,Northeast,52,0,0,93992,20800,83849,2016,8129
Virginia,1999,16.3138802,46223,7000174,West,285,10332,508350.9588,1560143,122836,831187,444542,287330
Washington,1999,14.37724944,50591,5842564,South,167,3064,182271.4594,1248464,1084137,851788,96875,302262
West Virginia,1999,63.80398709,32208,1811799,West,580,20256,1150172.004,1345028,14810,204336,993017,147675
Wisconsin,1999,19.85873482,41053,5332666,Midwest,144,2462,160951.684,1474177,116305,610729,480722,385142
Wyoming,1999,126.682663,49380,491780,South,547,15157,982672.1771,745714,14158,147886,496169,101660
Alabama,2000,31.93945968,33284,4452173,West,204,7286,443361.5164,1833286,263309,560633,904181,368472
Alaska,2000,70.54555762,57184,627963,South,98,7742,897169.5643,729758,12375,275502,16455,437972
Arizona,2000,16.68415176,39185,5160586,South,172,9956,521397.1698,1144386,102408,504891,432810,208137
Arkansas,2000,23.78118621,31834,2678588,West,248,3161,133613.4443,882085,108679,358392,267579,256114
California,2000,11.25103739,48223,33987977,South,736,19654,1220349.247,6103048,741805,3582109,70012,2456438
Colorado,2000,19.55200938,51524,4326921,South,879,12355,839911.1091,1193543,32002,444573,387879,370911
Connecticut,2000,12.60340286,61355,3411777,Northeast,63,719,46152.86391,629188,50924,429580,36246,163717
Delaware,2000,21.23674134,68992,786373,West,19,0,0,231276,2288,130954,50147,50181
District of Columbia,2000,7.516878013,138628,572046,West,3,0,0,69050,1353,34495,177,34377
Florida,2000,14.9368921,38860,16047515,West,203,5843,279663.0577,3245265,196685,1910520,760439,574460
Georgia,2000,20.56567018,45447,8227303,West,148,6598,355780.0876,2256045,222198,1015253,819530,421337
Hawaii,2000,15.49213486,44260,1213519,South,12,0,0,253044,20451,235315,17653,2975
Idaho,2000,12.08222067,34851,1299430,South,112,2367,121244.5515,255818,141037,167567,13732,74518
Illinois,2000,18.7949955,49145,12434161,Midwest,493,8939,494658.534,3319569,97693,1286709,1016555,1053319
Indiana,2000,39.13415036,41205,6091866,Midwest,215,5314,281189.2356,3022409,48676,861092,1595037,584850
Iowa,2000,26.49307783,39747,2929067,Midwest,78,1953,93590.20893,1046226,80729,404987,445888,233736
Kansas,2000,28.28842762,39923,2693681,Midwest,814,6567,299104.6947,1069132,9922,391680,362797,314868
Kentucky,2000,36.00870433,35513,4049021,West,478,20145,1054689.806,1827742,36286,596184,997621,234181
Louisiana,2000,51.41008769,40679,4471885,West,1190,41141,2529356.346,4058492,142355,2179390,253263,1625863
Maine,2000,17.54012303,36503,1277072,Northeast,19,0,0,317588,163031,259567,9980,48047
Maryland,2000,14.57343335,45619,5311034,West,83,0,0,1079014,54125,548060,312162,219360
Massachusetts,2000,12.96944681,54736,6361104,Northeast,93,1124,70158.08409,1212799,69458,740425,114658,357743
Michigan,2000,19.49268773,42225,9952450,Midwest,417,6447,396048.7573,2765145,118381,1001551,799800,984345
Minnesota,2000,19.86342074,47577,4933692,Midwest,141,6837,419741.2667,1399806,104661,678058,373775,367461
Mississippi,2000,21.59142494,29166,2848353,West,300,3909,173760.0197,916049,75390,456490,147481,312078
Missouri,2000,22.47076794,41920,5607285,Midwest,212,5056,222294.9669,1652686,23299,678138,688905,289044
Montana,2000,34.74323752,31899,903773,South,256,4348,267427.4719,411968,113792,165647,176779,69590
Nebraska,2000,24.2732609,41761,1713820,Midwest,112,1130,42875.00765,556267,43687,224817,206938,127600
Nevada,2000,22.48926435,49607,2018741,South,192,10113,669604.6119,627032,47142,235957,199339,194126
New Hampshire,2000,14.11424636,44460,1239882,Northeast,42,378,24258.12966,239474,38622,169234,44033,26397
New Jersey,2000,14.7082878,53701,8430621,Northeast,97,2478,181960.2667,1924730,41004,1192866,114734,626484
New Mexico,2000,31.95688127,37773,1821204,South,506,13193,723176.5689,796216,10635,233897,305513,259018
New York,2000,11.18842551,53827,19001780,Northeast,305,3717,208017.4174,3216316,430506,1607968,330844,1279693
North Carolina,2000,18.44928501,42193,8081614,West,122,3414,163971.3019,1935250,139516,911686,786114,240729
North Dakota,2000,79.12489116,35067,642023,Midwest,186,3907,236378.1623,597570,26151,120102,424563,58512
Ohio,2000,23.42579247,42678,11363543,Midwest,651,11291,592839.7351,3608966,98930,1273185,1428454,928425
Oklahoma,2000,29.00677838,34015,3454365,West,1971,25242,1379775.654,1440319,47393,512524,381089,546706
Oregon,2000,12.07099846,38193,3429708,South,139,2320,97329.03318,648953,437858,380453,38700,230965
Pennsylvania,2000,22.5900433,41857,12284173,Northeast,738,16330,887407.0096,3644660,114718,1410463,1508091,727484
Rhode Island,2000,11.14001379,41395,1050268,Northeast,22,0,0,189142,4520,97303,52,91787
South Carolina,2000,20.27720631,36070,4024223,West,51,1729,76925.59271,1070431,92463,473210,432195,165091
South Dakota,2000,18.78694545,35601,755844,Midwest,49,1215,59828.66326,204900,63439,118105,50602,38130
Tennessee,2000,22.44149826,38892,5703719,West,156,4335,191973.2392,1683770,120503,698045,705059,280679
Texas,2000,31.15376501,44432,20944499,West,5340,106075,7255915.429,11914541,101513,5821670,1548184,4550106
Utah,2000,29.04876004,38695,2244502,South,258,7467,443971.9875,844650,16403,269139,403068,173439
Vermont,2000,11.15452628,36622,609618,Northeast,55,0,0,98766,21389,88195,26,10552
Virginia,2000,17.32383482,47313,7105817,West,272,10409,519431.2036,1655409,117055,873849,506961,278198
Washington,2000,14.07661468,50063,5910512,South,171,3081,173171.974,1240107,911497,839072,106240,297569
West Virginia,2000,63.58531528,32144,1807021,West,555,18505,1098282.429,1342561,17408,206845,977817,157926
Wisconsin,2000,20.09676593,41911,5373999,Midwest,150,2685,153522.2785,1498029,115711,603951,499233,397553
Wyoming,2000,127.8575764,50814,494300,South,574,16239,996135.6568,758020,15011,145899,506147,105975
Alabama,2001,29.90397154,33312,4467634,West,205,7353,409010.9746,1722132,252824,537085,842337,344004
Alaska,2001,68.48515261,58547,633714,South,104,9698,1080714.087,718377,17439,289882,15911,413049
Arizona,2001,16.7631337,39170,5273477,South,179,10008,540483.0278,1183282,92736,516845,424023,244424
Arkansas,2001,23.36925164,31685,2691571,West,245,3446,151934.8369,859692,94047,354120,273982,231590
California,2001,11.21827379,47216,34479458,South,777,23068,1463412.48,6172713,615353,3598664,67839,2513856
Colorado,2001,20.9459006,51113,4425687,South,873,12784,927543.6329,1318361,30473,461101,400028,469766
Connecticut,2001,12.14739421,61872,3432835,Northeast,57,576,39202.9723,608724,29933,419491,39991,149350
Delaware,2001,20.23378187,71155,795699,West,20,0,0,228775,1322,138623,38335,51817
District of Columbia,2001,7.136590868,144598,574504,West,4,0,0,64783,864,33465,741,30577
Florida,2001,14.58705728,39445,16356966,West,215,5742,282722.4552,3240134,160073,1944577,725890,569757
Georgia,2001,19.26695331,45181,8377038,West,156,6839,355820.093,2147460,192077,1012795,772021,362695
Hawaii,2001,15.66134942,43778,1225948,South,10,0,0,257856,12469,239948,17774,2920
Idaho,2001,11.81852205,33390,1319962,South,112,1950,103549.5356,248794,104603,155595,11395,81804
Illinois,2001,17.98462499,48849,12488445,Midwest,493,8780,509384.2482,3175628,100649,1260800,983729,970648
Indiana,2001,37.33827696,40138,6127760,Midwest,223,5449,307816.3793,2877572,53115,812208,1569235,513752
Iowa,2001,26.09143188,38988,2931997,Midwest,81,1855,89997.72637,1020468,76676,391183,443921,225233
Kansas,2001,26.57131586,39745,2702162,Midwest,821,7091,331724.3535,1007182,10909,378875,354647,273862
Kentucky,2001,36.67530945,35497,4068132,West,534,18361,986279.0421,1859285,53502,629861,1013055,216707
Louisiana,2001,45.15534712,41302,4477875,West,1190,46547,2937110.864,3562212,136090,1974995,239990,1347228
Maine,2001,17.50030334,36995,1285692,Northeast,28,0,0,337142,146153,228077,7875,101190
Maryland,2001,14.49385648,46792,5374691,West,82,2160,115199.4641,1070902,33274,567294,318851,184976
Massachusetts,2001,12.87976149,55114,6397634,Northeast,92,0,0,1213976,47992,740865,109014,364114
Michigan,2001,18.98686033,40883,9991120,Midwest,411,6224,396875.2792,2696676,99009,987314,789703,928651
Minnesota,2001,19.06560092,47177,4982796,Midwest,143,6676,380631.7635,1351457,107990,673101,353305,345002
Mississippi,2001,24.60572998,28856,2852994,West,287,4518,212423.1261,1019600,56086,480421,198275,340904
Missouri,2001,23.3286097,41346,5641142,Midwest,215,4776,218860.4475,1728611,33112,725840,716378,288617
